,num,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,weight
117,202606,202607,B001EO5TJ8,A3C39I4ZCC5212,Anthony Quang Pham,0,2,3,1310169600,Very strong...,"This is my first bag of chai tea and I have to say, it's extremely strong if you try to drink this straight. I can barely taste the tea itself, just a bit of bitter, and an extremely strong spice taste.<br /><br />It gets better if you water it down a lot, or take it with a lot of milk (basically a chai tea latte), which I suppose is how it's supposed to be drunk. But you start losing the base tea and only get the other spices.",2.3452707615094163e-05
309,13016,13017,B000EVT04C,APRCWWXN9S5KE,J. Matthews,0,2,3,1319155200,"Very berry, but very greasy","Okay, I admit it, I'm a red licorice junkie. But I don't care for Red Vines or Twizzlers; they just don't have the ""tooth"" I desire in a good whip. These spirals are very tasty (almost too good) and they offer a good, long chew. The one drawback is that they tend to be very oily thus the reason for my 3-star rating. Still the berry flavor is spot on. Just what I love about strawberry licorice. Warning: Having a 5 pound bag of licorice in the house will weaken even the mightiest willpower. You've had your caution.",2.3452707615094163e-05
206,465644,465645,B001H32FMK,A1T5QLXIT6R250,"SORJOURNEY TRUTH ""Journee""",0,0,3,1284768000,seafood,"Shipment arrived as scheduled. Fish was partially thawed, yet it was packed with these cold packs that kept the fish cold. It was not smelly, tasted was good, could have been a larger packge however.",2.3452707615094163e-05
1284,346899,346900,B000RE96FY,A3HXT4P8NFA3KC,"Robert ""Okc spike""",0,0,3,1344384000,"Drinkable, not great","This coffee is ok, but nothing great, at least in my opinion..  I will not throw it away, but neither will I order any more.  It has that sharp aftertaste that I don't care for.  It isn't as strong as I expected it to be, which could be one reason for my disappointment.  If you like mild coffee and just drink coffee for effect this is a decent and well priced product.  I enjoy coffee and drink it for taste as much as effect.  The packets are easy to open, which I appreciate.",2.3452707615094163e-05
1095,62750,62751,B000I1OLT2,A3OPH5QDQRBNPT,Marilyn49,3,11,1,1250985600,Gluten in Tea!!!,I bought one of the Stash teas-don't remember which one. It contained gluten!  I am gluten intolerant but NEVER expected ANY tea to contain gluten.  There is NO reason for tea to contain gluten.  Celiacs beware!,1.2193337560357022e-05
1226,453572,453573,B001E5E0V0,AKUY4XIK5HRA8,"Carolina boy ""Rob""",0,3,2,1241568000,Buyer beware - (1) whole bean and (2) ground is what I found!,"The rating is driven by the purchase of whole bean and receipt of ground.<br /><br />Excitedly waiting for a Blue Mountain blend, we received the coffee package.  Oddly enough, the first cannister was indeed whole bean and very enjoyable.<br /><br />However, the second cannister was ground; and yes, the third was ground as well.  I opened the other after the first.  After having a few cups of the ground, we ended up buying more Dunkin whole bean.  The ground left much to be desired with taste and freshness.  It is, however, better than some store brands.<br /><br />We are still using the first of the ground cannister as a spare and feel bamboozled.",1.2193337560357022e-05
16,6949,6950,B001LG945O,A39G26LKBXB83D,RFB,0,0,3,1246924800,"Not bad, not great","It's not bad. Good ingredients for a change so that's a plus. Taste is okay but not great. I would drink it if offered, but doubt I'd buy it.",2.3452707615094163e-05
692,456163,456164,B003BJZMSM,A1IQYPFSBMX3LS,"Florence R. Wohl ""Grammy Flo""",1,2,3,1310947200,Guilt-Free but not that great,"I loved the idea of this snack. As others mentioned, enough crunch and volume that it is hard to finish a bag. The flavors are not that great. I really like Honey Mustard and Onion flavored snacks but the smart fries, not so much. My six yr old loves snacks but not even the cheddar was appealing to her.",2.3452707615094163e-05
611,562570,562571,B000CRKOIE,A2C8045GSHISYK,W. Baker,2,2,5,1176163200,Bear Naked Granola,"Bear Naked Granola, especially the Fruit & Nut, is a superior product, and we have used the product for some time.  Bear Naked items tend to be expensive in local supermarkets, and the prices are a little better at stores such as Costco.  Costco tends to be out of stock or does not hav the flavor we want.  Purchasing through Amazon was cheaper then the supermarket, cheaper then Costco, and the shipping was prompt and free.",2.2533840194512107e-06
1393,402242,402243,B00099XODM,AKK49Y5DWSEND,ZombieLuv,3,6,3,1203897600,Tastes good but...,These taste very good and are quick and easy.  The only disappointment is the fact that there is trans fat in them.  I figured in this day and age that would be pretty much a no go but I guess Betty Crocker hasn't gotten a clue yet.,2.3452707615094163e-05
1418,343645,343646,B006BXUY2Y,ARYSDAZNRXN6G,A. Crafton,0,0,1,1335484800,Plastic chocolate and sugar..,"These look a lot like a sweet treat when you first open them, I expected a bit of a rewarding experience to eat one. They smell really good when you open them! They have a rich, oaty, chocolate vibe.<br /><br />My first bite was almost the last. It left a stinging, burning sensation in my mouth as soon as I started to chew; the chocolate was like bitter stinging plastic across my palate. The bar was sticky, chewy, and had an unpleasant feel in my mouth.<br /><br />Of course when I saw that the ingredients are sugar, dextrose, corn syrup, glycerin...sugar sugar and sugar. One bar (they are small!) has 7 grams of sugar. ""Soluble corn fiber"" as first ingredient? It has a lot of soy in it as well, more than I expected to see in a granola bar. It's like a bunch of gunk bound together with sugar.<br /><br />For a net carb count of 13 grams (over half that sugar), there isn't enough nutritional redemption in them for me to even consider packing them as a snack. A mere 4 grams of fiber for such a tiny bar, and it probably comes mostly from the corn? The Fiber One bars I've had, taste better for sure. I've never had a stinging and prickling sensation in my mouth from eating a GRANOLA BAR...it was disconcerting. For what it's worth, my husband liked them. But there isn't much he DOES NOT like.",1.2193337560357022e-05
801,48014,48015,B004SRH2B6,A1RYLIR0OD5JBV,"redtulip ""from California""",0,0,1,1318896000,awful after taste,I have eight of these bottles sitting in my cupbard and unfortunately I cannot get myself to drink them. Awful after taste in the plastic bottle. Will not buy this product again. The boxed version tastes much better.,1.2193337560357022e-05
399,23108,23109,B004ZIER34,A1HRYC60VTMYC0,Ace,2,2,3,1312761600,"Smooth, but with a bitter after-taste","Since I love French Roast, I was happy to get a sample of this particular roast. I opened the sealed bag and smelled the contents, which were not as robust-smelling as the French Roast I have been used to. I brewed a cup, and tasted it:<br /><br />1) Black no sugar -- rubbery after-taste<br />2) Black, with sugar -- mitigated the rubbery after-taste which was still there<br />3) Cream and sugar -- removed the rubbery after-taste, was pleasant and smooth but not as rich and aromatic as the French Roast I am used to.<br /><br />After four cups (not in the same day) my stomach WAS happier than when on ""normal"" coffee - I determined that the rubbery after-taste was there to stay. However, the coffee WAS smooth and definitely not acidic. But, it's a sad trade-off: low acid, rubbery taste (unless you mask it with cream/soy and sugar/honey). Hopefully something can be done to ""tweak"" those ""settings"".",2.3452707615094163e-05
93,191281,191282,B001SIY5NQ,A1RDAFCAM562FR,Rod Auric,1,1,3,1320796800,As expected,"This was an impulse buy. I purchased other food items and decided to try getting this from Amazon. I later found that the same product was much cheaper at my local Big Box Membership Warehouse store. The jerky was about the same freshness as I find in local stores. I was hoping for fresher, ie softer jerky.",2.3452707615094163e-05
433,438852,438853,B005HGAV8I,A3EUUL5K04K9Y,Howitska,1,1,3,1328140800,Not Much Variety,"Expected some brand variety and paid more than we usually do to get it, arrived with 90% Green Mountain (the brand we wanted a break from), 10% Gloria Jean, lots of repeat flavors. Not impressed compared to what we expected based on site info.",2.3452707615094163e-05
515,214014,214015,B0000D94PA,A90CO572BWE62,College Kid,3,4,1,1267574400,Truly Awful,"Wow.<br />This gingerbread is terrible. Truly terrible. Inedible, even. It's not just because it is sugar-free. Of course sugar-free cake is going to be a little different and less rich. But this is way, way worse than other sugar-free baked goods. I have had sugar-free chocolate cake and loved it. THIS mix is terrible. There are many reasons:<br /><br />- The batter is like a mousse, that just gets hard when it bakes. So it looks like crap because it doesn't smooth out as it bakes. Every spoon-mark is still there when you pull it out of the oven. It looks really weird. You could not serve it to company.<br />- The cooking time on the box (for the loaf pan) is ten minutes too long.<br />- There is no ginger taste, or cinnamon, nutmeg, or spice flavour in this ""ginger"" bread. It is flat and tasteless.<br />- The lack of other flavours allows the nasty aftertaste from the Sweet & Low(tm) to bloom with full force.<br />- The gingerbread is lacking in body, because it is as light and fluffy as a mousse. It is not helpful for dieters because it is not satisfying to eat because when you eat it, you feel like you haven't eaten anything. Strangely, this gingerbread mousse is also rubbery. Rubbery stiff mousse that dissolves in your mouth.<br /><br />The overall experience is like biting into a vaguely sweet sponge. Then it dissolves. And then the bitter chemical aftertaste kicks in.<br /><br />I have NO IDEA how a slice of this gingerbread could be 160 calories. There's nothing in it, it tastes nasty, and it is gross to chew on! You can have a gingerbread Pop Tart(tm) for 200 calories, or a bakery gingerbread cookie for 120 calories, and they are full of fat and sugar. How can this sugar-free, taste-free, light and fluffy rubber crap be 160 calories?",1.2193337560357022e-05
631,339442,339443,B005A1LJ04,A1WBEIH7Z37LN9,"MagicSkip ""magicskip""",0,0,3,1326672000,"""aka Crystal Light Limeaid""","I know marketers try to make magic by using the latest buzzwords, like ""Mocktails"".  I know there are people who will think ""oooh, Margarita mix, all I have to do is add tequila"".  This is NOT the product for that.<br /><br />If you've had other Crystal Light fruity flavor drinks, this is really just like a limeaid flavor of them.  To call it ""Mocktails Margarita"" is pure sophistry.<br /><br />In any case, the product itself is fine - it just isn't so much what they are trying to say it is.  Calling it ""Mocktails Margarita"" sets up a different expectation from what it really is.  If you like the other Crystal Light fruity flavors, and you like a limeaid flavor, you'll probably like this.  If you're really looking for a Margarita flavor, or for a mixer, you'll probably be disappointed.",2.3452707615094163e-05
601,292770,292771,B005A1L2XI,A2BF1IDDK1BIG0,Waterhog,0,0,2,1349913600,Delicious cookies!,The cookies were delicious but the arrived in crumbs.  I don't know if it was the original packaging from the company or Amazons packing but there wasn't a single whole cookie in any of the 3 packages.,1.2193337560357022e-05
13,490458,490459,B000CQE3IC,A1YELVG03O68F8,F. Bican,0,0,5,1197331200,Great bargain,"Same SlimJim taste I remembered, and I like the little ones because you can stick a handful in a pocket.  Amazon seems to have gotten their act together -- I ordered these and got them two days later.  And as far as whichever reviewer said these are made from cow hair, well, they've got a serious screw loose.",2.2533840194512107e-06
478,480961,480962,B002XUX0FC,A3TP31S61PPE3G,AlexJouJou,3,3,1,1294358400,In addition to price these taste terrible!,I'm a fan of other baked chip products (such as Doritos and Lays Potato Chips) so I picked these up. They taste terrible! They are bland without much flavor but what there is sort of reminds me of sawdust. I'm sure they might be healthier as they are a Baked product but I'd rather eat less of the real thing. I threw them away. Yuck!,1.2193337560357022e-05
1138,492333,492334,B0000GHNWC,A2DVFHG099GUGE,sauerkraut,0,0,3,1341532800,A satisfying hot sauce,"For quite some time, I have been using different types of hot sauce on different types of food.  Before I started doing this, I only ever remember using hot sauce on barbeque sandwiches.  Even though I have tried numerous types of hot sauce during this period, Valentina Salsa Picante Mexican Hot Sauce Extra Hot has set itself apart from the others.  It has a satisfying flavor and is neither too hot nor too mild.  This is a product that I can recommend.",2.3452707615094163e-05
94,388160,388161,B000633Y40,A3PSE7JQ47SKEB,"C. Hansen ""&#34;kegger&#34;""",2,3,3,1309910400,Good product but dog lost interest,"After my dog could no longer get to the remaining filling in the center of the bone, he seemed to lose interest. However, the first few days he had it he wouldn't leave it alone. He still picks it up every once in a while but doesn't chew it very long.",2.3452707615094163e-05
1454,531716,531717,B005K4Q34S,A1NDDKN0RUMTQ,pmonnia,0,0,3,1343865600,Very sweet,"This is the first time I ordered, I hadn't read the reviews, which I know I should have. The product was very very sweet, and I like sweet. I kept the coffee, BUT, personally this might be ok if I make it as an iced coffee for the summer.  I guess if you like extra sweet, this is the coffee for you.",2.3452707615094163e-05
894,346107,346108,B004TJF3BE,A2D11X0Z1N5R93,"Theresa Davis ""Belgian to the Bone""",1,1,1,1322352000,Such a disappointment,"I bought this because a coffee shop in the area has a delicious carmel apple cider, and I mistakenly thought this was going to be as good.  It's not.  The flavor is not natural.",1.2193337560357022e-05
537,60687,60688,B003QNJYXM,A2EACHU71ZO56Y,ES,0,2,1,1320710400,Tastes horrible not worth it,"I got the energy boost of drinking a cup of coffee, however had to hold my nose while drinking it it was so bad. Sticking to coffee which isn't great but is much cheaper and doesn't have all these chemical additives.",1.2193337560357022e-05
521,290051,290052,B005IG5ODE,A2FTGWMYLP4M8U,"BR ""BR""",2,4,1,1328054400,"um, this is ONE over-priced small jar",Hmm  the picture shows three jars as if this is a three-pack. So this ends up being just one very over-priced jar of peanut butter.,1.2193337560357022e-05
256,466838,466839,B0015MY6PC,A1YELX1XVW5A9U,"vdavisoh ""Bargain Outlet""",0,0,5,1219795200,Very Good Product,"Based upon the reviews, I decided to try these as a healthy adult snack.  I was expecting a larger package size, but was pleasantly pleased with the quality and taste.  Perfect, just what I was looking for. I have signed up for the automatic shipping option on these to get them at a lower price also.",2.2533840194512107e-06
1151,140527,140528,B0007R78O2,A312HKLV02UHE1,DJ,0,0,1,1349136000,DESCRIPTION IS INCORRECT,"""The Blue Moon Ice Cream Sampler features one of our best selling ice cream flavors. Blue Moon ice cream has a fruity flavor and is colored blue. You will receive 8 pints of the Blue Moon flavor.""<br />If you get 8 pints of the same flavor, it's not a ""sampler"" or an ""assortment"", and who in their right mind would pay $103.85 (including shipping) for 8 pints of ice cream?  That's $12.98 a pint!.",1.2193337560357022e-05
1172,234794,234795,B000KV7ZGQ,A186GTIBSBFNA8,"Victoria S. Reynolds ""w0Lf SmiLe""",0,0,3,1279584000,not for a rope chewer,within five minutes my 11 month old 60 lb collie/saint Bernard mix had chewed the rope in half.  I used suggestion given by another reviewer and put a racket ball in the bottle.,2.3452707615094163e-05
752,268391,268392,B0001BV4X0,A1ZADRWBUBXAS7,John Hollingsworth,0,1,1,1310256000,Worst order processing ever,I ordered Boylan's Birch Beer June 7th sent an email after 2 week to them through Amazon never received a reply. Amazon should auto delete this order because of no action by Boylan's for 30 days.<br />The really sad part of this story is that they make really super great Birch Beer soda.<br />I have since been able to find Boylan's in a local store here in Florida.,1.2193337560357022e-05
660,270607,270608,B000FI2VHM,A13SVBJSSHPU5H,Pattie,2,2,1,1229644800,Do NOT buy Salad Greens Seed Kit,"Despite what the package claims, namely that the seed kit contains a mix of Red Leaf, Green Leaf, Butterhead & Romaine, it, in fact, had seven pots of the same seeds, namely Butterhead lettuce.  Had I known this was the case I'd not have bought it, and feel deceived by the packaging.",1.2193337560357022e-05
435,498487,498488,B001ELL76U,A3PFI1B6M35CIN,R. Perloff,3,4,3,1284249600,Vanilla flavor,"Mild vanilla flavor but nothing special.  As I make my own ice cream, I'm very fussy about my flavorings.  They need to be more intense than this one to get the flavor I want.",2.3452707615094163e-05
1443,111480,111481,B000BN82I8,A1ZGS3Q1S15YUU,G. Carter,1,1,2,1248134400,Counterfeit? Or lousy quality control?,"I also have had inconsistent results with this product. In addition, the labels on the cans aren't always the same--one indeed looks completely fraudulent. Another is dimmer and the contents were a slick, pasty substance that looked cheap and SIGNIFICANTLY different from cans that have more legitimate looking labels (they look brighter, crisper as if done on a proper printer, not some fly-by-night).<br /><br />So either they get their stuff from different suppliers with haphazard quality control in some cases or, as with SO many other products from drugs to DVDs, someone is canning some [...]crap and passing it off as Natural Balance. In any event, I'm disappointed, disgusted and dissatisfied with the company's response and apparent indifference to the issue.",1.2193337560357022e-05
283,551845,551846,B0000GHNVS,A2VMGLANJ79CR6,ZachMorris,0,0,5,1326672000,Great Sauce,Had to get my favorite hot sauce before moving abroad. It came very quick and I'm very happy with the product. Huge bottle.,2.2533840194512107e-06
421,141764,141765,B003GTR8IO,A2CT2SA6KFE8GC,"Stanley Runk ""Runkdapunk""",1,1,2,1294099200,Nah.,"You know, I have to say I wasn't impressed much by this stuff.  I'd like to say otherwise, but I'd might as well be honest.  Taste wise it was so-so, but the real zinger was a nasty aftertaste.  I'm not crazy, my wife experienced this too.  Sure, individual coffee makers can alter taste, but since everything else is fine going through ours, my money's on the coffee itself.  Sorry.",1.2193337560357022e-05
560,74066,74067,B004JRKEH4,A3BH63GKL7MQ2K,"J. Roberts ""RP madman""",0,0,3,1312416000,"False advertising, but tasty","The only thing chipotle about this sauce is in the name. Don't get me wrong, it's pretty darned tasty. It's thick and spoogy, which isn't everyone's thing, and I needed a bit of hot sauce to really add zing to my fajita, but it's good stuff.",2.3452707615094163e-05
908,477126,477127,B004IN4N8U,A14UGKI1OO7VLW,Plaskon,0,0,1,1327190400,Avoid,Diarrhea is what my cat got from eating Purina Friskies Party Mix Cheezy Craze Crunch. I will not feed him this again.,1.2193337560357022e-05
185,174238,174239,B000LL0RKG,ASEJEKOJAO462,Dee and Dum,1,7,3,1188691200,There are better products,"This item is too sweat for soymilk. It also has a strong artificial flavor. It looks to me the person who made the product doesn't like soymilk at all, so he added a lot of other stuff to cover its original taste. Too much sugar makes the product unhealthy.",2.3452707615094163e-05
351,266603,266604,B0006GK8H8,A1TBL666CAW4F4,penny,0,0,2,1350345600,Very poor quality,They were flimsy plastic. The first one broke within minutes of use. The other two either couldn't keep the potato in the gun or they jammed. After about 20 minutes the children put them away. They weren't fun to play with. I definitely would not recommend these guns to anyone. Find a gun that's a little more substantial.,1.2193337560357022e-05
335,75748,75749,B004MO6NI8,A3NO9NOCWLFAAJ,"Susan ""Bubbasu""",0,1,2,1332288000,Not the energizer bunny!!,This has a really nice flavor and is not  too carbonated but it did absolutely nothing to my energy level! This is the first time I have tried a product like this. I tried it because I work nights and wanted a little energy boost to help get me through  til quitting time!  I think a little extra caffiene will work and be less expensive.,1.2193337560357022e-05
102,500804,500805,B002TN49F8,A3E8VO5PI4EB2X,Rob Ez,0,1,3,1282867200,Vanilla,I have only tried this flavor but it's good! No need for additional flavour shots. It's perfect for a cool evening.,2.3452707615094163e-05
1077,483929,483930,B003XDH6M6,A20XBV5UO5ZS2S,lenore531,0,0,3,1317254400,Well ... organic is good!,"I am a big licorice fan, so I thought I'd give these a try.  The best thing about them is that they are made with organic ingredients, which makes them less guilt-inducing than most licorice.  Texture: a bit rubbery/chewy but fine. Taste: Takes some getting used to, but ok, especially because the pomegranate is not overly strong. Aftertaste: my least favorite part, it's pretty chemical and makes me want to drink lots of water.<br /><br />I would be willing to try the other flavors (black & strawberry, probably not tangerine) but I don't think I'd ever buy this flavor.",2.3452707615094163e-05
781,387791,387792,B003VBH6DE,A1EHR6I5O1X1UK,Diane,0,1,1,1347321600,terrible,I could not eat these cookies. I am a huge cookie lover but these did not work for me. A friend recommended them to me so I looked them up and bought some. I ended up giving my bags of cookies to my husbands office employees.,1.2193337560357022e-05
53,417995,417996,B009RB4GO4,A2PIXJM37NIFYJ,jansled,2,3,1,1323129600,ASPARTAME!!!,I'm allergic to aspartame and have bad kidney problems after drinking it unknowingly.  I ordered this product and would not have if it had said SUGAR FREE.  I would've had a clue that I couldn't drink it.  Ingredient labeling should be mandatory.  It certainly wasn't advertised correctly and completely wasted my money.  Buyer beware.,1.2193337560357022e-05
1383,411609,411610,B003Y390ZQ,ABIKAOI8L1PMV,Wheels,0,1,3,1334102400,"Tastes OK, potatoes in the sauce.",I bought this sauce hoping to recreate a local Thai restaurant's dish. Taste is pretty good but I kind of assumed the package was sauce only. It contains potatoes which almost makes it little more than a single serving. I would have preferred just sauce to add my own local potatoes.,2.3452707615094163e-05
1277,223385,223386,B002QGK2V8,A26BIXUCX8KCZ8,Kevin & Chris,3,3,1,1266883200,THE HORROR!!!,I bought a single one of these locally to try out and thank GOD I only bought one!<br />After I hit the brew button I walked over to the fridge to get the creme and as soon as I opened the door the stench hit me. I swear I thought something was rotting in my fridge but it was actually this swill brewing on the counter. I was horrified. Some people described it as a burnt smell and it certainly has that going for it but there's so much more. It's unbelievable. The taste isn't as bad as the smell but it's so overwhelming that you just can't get past it.<br /><br />Clearly a LOT of people like this coffee and I would suggest trying one before you buy the case. You will be very angry to find out you're one of those people that thinks this smells worse than a spent diaper.,1.2193337560357022e-05
771,545727,545728,B002WPX9Q8,A1SXF1G7RIIVRR,Sherry Ford,0,1,3,1314921600,sweet cookies,"Yes, I mean sweet. It is good when drinking coffee, but for eating alone it's kinda too sweet for me.",2.3452707615094163e-05
80,558657,558658,B003UE2X2G,AAFMY4T753D99,markpittsnh,2,3,3,1312329600,Amazing bar! Too expensive @ amazon!,Why is the box of 10 $10 @ Amazon when I can buy this for $4 at the grocery store? Is there a pricing problem?,2.3452707615094163e-05
605,117620,117621,B0080LMFY0,A1SMZ225NYM2PM,Lil Cindy,1,1,2,1344643200,Where's the butter?,"I love butter chicken. I order it almost every time I go to Indian restaurants. I even make it from scratch at home when the craving sets in. I have had A LOT of it. So when I was looking for a quick and easy dinner at the grocery store and found a jar of this stuff, I was pretty excited to take it home. Man, was I let down. This tasted more like barbecue sauce than butter chicken! I even added peppers, onions, curry powder, and cayenne in attempts to make it better. Nope. Just spicy barbecue sauce. Where's the butter!?!",1.2193337560357022e-05
547,332756,332757,B001H9N1B8,A4YL4MJPU7X5S,Darnell,0,0,3,1309305600,OK item,I needed these pens for my son's birthday party and the cake pops I made. These pens really made the job hard. They didn't write well at all the job took double the time because of these poor quality pens. The seller did do a good job shipping and the price was fair.,2.3452707615094163e-05
1412,64425,64426,B000MIDROQ,A5YW6LS7PTQ60,Erica Hidvegi,0,2,3,1255305600,Certainly is prepared pasta but . . .,"This is one of the better quality products Chef Boyardee provides in a container instead of a can, thank goodness ! I am grateful this product contains NO hazardous chemical dyes for enhancement of color, taste, texture and consistency; therefore I review that it is still healthy ! I am not hip on boxed, container-bound or prepared items of anything but when fresh is too expensive and quick is the 'theme' for the day, Chef Boyardee comes in handy and safely off my local grocers shelf to my kitchen table. The microwaveable feature may be a plus to some, but our family avoids the danger 'radiating any food' can do.<br /><br />Thank you for reading and<br /><br />Enjoy !<br /><br />miss erica hidvegi,<br />the Enlightenment Advisor",2.3452707615094163e-05
1094,272616,272617,B008K9TDSS,A3BZRWY8PKPJKQ,JAHWPA,2,4,1,1312588800,WAY too expensive for the quality,WAY too expensive for the quality - NO RETURNS -- Not a good purchase -- I am a big amazon fan and use it regularly - typically the reviews do not lead me astray - this one did :(,1.2193337560357022e-05
912,412602,412603,B000LKX53S,A1C3VQU5KOBBD8,Roger S. Cohen,0,0,1,1322179200,"The Glenny's ""Lightly Salted"" Chips Are Great, But the ""Sea Salt"" Chips Taste Funky","I've been enjoying the Glenny's Lightly Salted chips for several years.  They're great.  They're hard to get in the supermarket, so I buy them by the case from Amazon .  (Sometimes they're hard to get from Amazon, too.)<br /><br />I thought I'd give the Glenny's Sea Salt chips a taste.  Blech.  It has a funky taste.  ""Salt is salt,"" I thought.  I don't know if it's only the taste of the different salt that makes the chip taste funky, or if they make that variety of the chip differently in other ways.<br /><br />I trashed the entire case of the Sea Salt chip, and went back to the Lightly Salted variety.<br /><br />""To each, his own taste.""",1.2193337560357022e-05
